"OBJECTID","stop_id","stop_name","stop_desc","bin_3","bin_6","bin_9","bin_12","bin_15","bin_18","bin_21","bin_24","bin_27","bin_30","bin_33","bin_36","bin_39","bin_42","bin_45","bin_48","sum_trips","bin_3_perc","bin_6_perc","bin_9_perc","bin_12_perc","bin_15_perc","bin_18_perc","bin_21_perc","bin_24_perc","bin_27_perc","bin_30_perc","bin_33_perc","bin_36_perc","bin_39_perc","bin_42_perc","bin_45_perc","bin_48_perc"
95,"PE6","STN Oasis","50 Punggol Drive",0,0,1,0,3,1,1,0,0,0,1,1,0,0,0,0,8,0.000000,0.000000,0.125000,0.000000,0.375000,0.125000,0.125000,0.000000,0.000000,0.000000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000
96,"SE1","STN Compassvale","Compassvale St",1,1,1,1,2,2,0,1,0,0,0,1,0,0,0,0,10,0.100000,0.100000,0.100000,0.100000,0.200000,0.200000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000
97,"SE2","STN Rumbia","Rivervale Dr",4,7,6,5,6,2,1,1,0,0,0,0,0,0,0,3,35,0.114285,0.200000,0.171428,0.142857,0.171428,0.057142,0.028571,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085714
98,"SE3","STN Bakau","Rivervale Dr",0,2,2,4,1,3,1,0,0,0,0,0,0,0,0,0,13,0.000000,0.153846,0.153846,0.307692,0.076923,0.230769,0.076923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99,"SE4","STN Kangkar","Rivervale Dr",1,7,3,2,2,5,1,0,0,1,0,0,0,0,0,0,22,0.045454,0.318181,0.136363,0.090909,0.090909,0.227272,0.045454,0.000000,0.000000,0.045454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,"SE5","STN Ranggung","Sengkang E Avenue",1,3,0,3,2,3,1,1,0,0,0,0,0,0,0,0,14,0.071428,0.214285,0.000000,0.214285,0.142857,0.214285,0.071428,0.071428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
101,"SW2","STN Farmway","Anchorvale Crescent",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
102,"SW4","STN Thanggam","Lorong Tanggam",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
103,"SW5","STN Fernvale","Fernvale Road",0,8,1,6,11,2,6,3,1,0,4,0,0,0,0,0,42,0.000000,0.190476,0.023809,0.142857,0.261904,0.047619,0.142857,0.071428,0.023809,0.000000,0.095238,0.000000,0.000000,0.000000,0.000000,0.000000
104,"SW6","STN Layar","Fernvale Link",0,0,2,1,2,0,2,1,0,0,0,0,0,0,0,0,8,0.000000,0.000000,0.250000,0.125000,0.250000,0.000000,0.250000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
105,"SW7","STN Tongkang","Anchorvale Road",1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,8,0.125000,0.375000,0.000000,0.125000,0.125000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
106,"SW8","STN Renjong","Sengkang E Avenue",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
107,"1012","Allson Hotel","",1,10,6,6,10,5,1,0,0,1,0,0,0,0,0,0,40,0.025000,0.250000,0.150000,0.150000,0.250000,0.125000,0.025000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
108,"1013","St. Joseph's Ch","",0,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,12,0.000000,0.333333,0.333333,0.083333,0.083333,0.000000,0.166666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
109,"1019","Bras Basah Cplx","",1,1,4,7,5,5,4,1,2,0,0,0,0,0,0,0,30,0.033333,0.033333,0.133333,0.233333,0.166666,0.166666,0.133333,0.033333,0.066666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
110,"1029","Cosmic Insurance Bldg","",1,3,9,8,4,5,0,0,1,0,0,0,0,0,0,0,31,0.032258,0.096774,0.290322,0.258064,0.129032,0.161290,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
111,"1039","Nth Bridge Commercial Cplx","",0,3,7,14,11,5,1,0,0,1,0,0,0,0,0,0,42,0.000000,0.071428,0.166666,0.333333,0.261904,0.119047,0.023809,0.000000,0.000000,0.023809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
112,"1059","Bugis Stn","",3,13,6,18,17,26,3,1,2,2,0,0,0,0,0,0,91,0.032967,0.142857,0.065934,0.197802,0.186813,0.285714,0.032967,0.010989,0.021978,0.021978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
113,"1109","Queen St Ter","",0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,7,0.000000,0.000000,0.000000,0.428571,0.285714,0.142857,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
114,"1112","Opp Bugis Junction","",0,21,15,3,5,8,4,3,0,0,0,0,0,0,0,0,59,0.000000,0.355932,0.254237,0.050847,0.084745,0.135593,0.067796,0.050847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115,"1113","Bugis Stn","",0,11,7,7,2,1,2,1,0,0,0,0,0,0,0,0,31,0.000000,0.354838,0.225806,0.225806,0.064516,0.032258,0.064516,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
